City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pandan,14.0453,124.1694,31.56,59,73,1.68,PH,1715403913
1,west island,-12.1568,96.8225,27.43,83,30,7.27,CC,1715403913
2,grytviken,-54.2811,-36.5092,-0.19,88,100,3.36,GS,1715403913
3,yanam,16.7333,82.2167,35.12,49,14,3.32,IN,1715403913
4,taroa,8.7058,171.2275,26.08,89,100,8.2,MH,1715403913
5,kailua-kona,19.6406,-155.9956,25.98,68,0,8.23,US,1715403913
6,island harbour,50.724,-1.2758,12.74,91,93,0.45,GB,1715403914
7,esquel,-42.9,-71.3167,-1.38,88,55,0.73,AR,1715403676
8,zelenogorsk,56.1147,94.5861,22.78,50,100,6.3,RU,1715403914
9,nova odesa,47.3078,31.7851,13.9,49,55,2.52,UA,1715403637
10,tralee,52.2704,-9.7026,8.29,89,41,2.16,IE,1715403914
11,mejit,10.2753,170.8646,27.71,80,100,6.33,MH,1715403914
12,mahanoro,-19.9,48.8,22.48,88,39,2.08,MG,1715403914
13,brisas de zicatela,15.8369,-97.0419,26.37,69,97,2.21,MX,1715403915
14,san juan de miraflores,-12.1629,-76.9635,20.09,79,82,3.08,PE,1715403915
15,puerto baquerizo moreno,-0.9,-89.6,23.01,90,89,2.58,EC,1715403915
16,rio gallegos,-51.6226,-69.2181,-1.97,100,100,4.12,AR,1715403723
17,trairi,-3.2778,-39.2689,24.94,88,84,2.61,BR,1715403915
18,port blair,11.6667,92.75,33.02,70,40,4.63,IN,1715403915
19,hawaiian paradise park,19.5933,-154.9731,22.8,97,75,2.06,US,1715403915
20,isafjordur,66.0755,-23.124,3.42,96,100,3.19,IS,1715403915
21,tsiombe,-25.3,45.4833,22.37,63,0,2.96,MG,1715403915
22,muang xay,20.7,101.9833,34.98,33,5,2.42,LA,1715403916
23,adamstown,-25.066,-130.1015,22.35,87,52,6.55,PN,1715403916
24,atafu village,-8.5421,-172.5159,29.57,74,50,4.72,TK,1715403916
25,blackmans bay,-43.0167,147.3167,14.85,78,44,0.45,AU,1715403916
26,redencao,-4.2258,-38.7306,23.3,94,72,0.21,BR,1715403916
27,wakimachi,34.0667,134.15,23.9,33,23,0.98,JP,1715403826
28,georgetown,5.4112,100.3354,27.96,89,40,2.24,MY,1715403899
29,sikonge,-5.6333,32.7667,19.06,82,50,2.42,TZ,1715403916
30,san patricio,28.017,-97.5169,27.69,89,39,3.6,US,1715403916
31,huarmey,-10.0681,-78.1522,19.53,88,54,3.29,PE,1715403917
32,edinburgh of the seven seas,-37.0676,-12.3116,17.23,90,100,13.29,SH,1715403917
33,jamestown,42.097,-79.2353,8.17,97,0,1.54,US,1715403881
34,umm kaddadah,13.6017,26.6876,26.99,6,100,3.29,SD,1715403917
35,ilulissat,69.2167,-51.1,-4.99,86,40,1.54,GL,1715403917
36,nuuk,64.1835,-51.7216,-1.66,86,100,3.6,GL,1715403917
37,wailua homesteads,22.0669,-159.378,25.24,83,20,4.63,US,1715403917
38,port-aux-francais,-49.35,70.2167,5.12,71,33,12.64,TF,1715403917
39,narvik,68.4384,17.4272,3.67,92,100,2.11,NO,1715403918
40,yellowknife,62.456,-114.3525,3.56,97,100,8.75,CA,1715403674
41,tikhvin,59.6451,33.5294,4.01,90,97,4.36,RU,1715403918
42,tabas,33.5959,56.9244,24.65,22,0,0.74,IR,1715403918
43,urucara,-2.5364,-57.76,23.58,98,76,0.95,BR,1715403918
44,rongelap,11.1635,166.8941,27.28,81,100,6.54,MH,1715403918
45,college,64.8569,-147.8028,10.6,30,75,3.6,US,1715403918
46,cabo san lucas,22.8909,-109.9124,23.67,60,52,5.69,MX,1715403881
47,pathein,16.7833,94.7333,38.39,32,7,1.95,MM,1715403875
48,achinsk,56.2694,90.4993,15.39,56,100,3.58,RU,1715403918
49,vernon,50.2581,-119.2691,18.12,60,57,1.79,CA,1715403854
50,iqaluit,63.7506,-68.5145,-0.15,93,100,5.14,CA,1715403678
51,namibe,-15.1961,12.1522,21.74,83,1,1.74,AO,1715403919
52,freeport,40.6576,-73.5832,10.98,86,100,2.24,US,1715403885
53,albany,42.6001,-73.9662,10.25,88,99,0.74,US,1715403759
54,weno,7.4515,151.8468,30.97,74,40,4.12,FM,1715403919
55,san antonio de pale,-1.4014,5.6325,26.45,89,72,4.13,GQ,1715403919
56,ola,59.5833,151.2833,3.41,79,43,3.99,RU,1715403919
57,lazaro cardenas,17.9583,-102.2,23.09,77,53,1.21,MX,1715403894
58,geraldton,-28.7667,114.6,30.23,32,0,3.09,AU,1715403920
59,broome,42.2506,-75.833,9.62,96,100,1.54,US,1715403920
60,aberystwyth,52.4155,-4.0829,11.51,89,92,2.93,GB,1715403920
61,monrovia,6.3005,-10.7969,26.79,85,99,1.15,LR,1715403920
62,antsiranana,-12.2787,49.2917,25.42,69,75,5.14,MG,1715403920
63,tema,5.667,-0.0166,27.23,94,20,3.09,GH,1715403920
64,vicuna,-30.0319,-70.7081,6.85,61,100,0.8,CL,1715403680
65,tiksi,71.6872,128.8694,-2.43,91,100,4.0,RU,1715403920
66,ust'-kulom,61.6864,53.6902,1.18,67,98,1.95,RU,1715403921
67,ginir,7.1333,40.7,18.77,68,35,0.58,ET,1715403742
68,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,95,75,6.0,RU,1715403921
69,pariaman,-0.619,100.12,30.41,68,58,3.37,ID,1715403921
70,suva,-18.1416,178.4415,25.71,69,75,3.6,FJ,1715403921
71,trinidad,-14.8333,-64.9,24.29,87,75,1.73,BO,1715403921
72,anshun,26.25,105.9333,19.52,76,94,4.13,CN,1715403921
73,puerto natales,-51.7236,-72.4875,-2.27,93,82,1.79,CL,1715403921
74,kimbe,-5.5502,150.1429,29.43,81,79,1.25,PG,1715403922
75,port elizabeth,-33.918,25.5701,15.17,72,0,6.69,ZA,1715403662
76,kingscliff,-28.2667,153.5667,22.63,83,100,4.12,AU,1715403922
77,victoria,22.2855,114.1577,30.03,80,99,3.13,HK,1715403657
78,glendive,47.1053,-104.7125,14.86,71,0,5.14,US,1715403922
79,ushuaia,-54.8,-68.3,2.81,70,0,6.17,AR,1715403459
80,bethel,41.3712,-73.414,8.17,85,75,0.45,US,1715403729
81,dangriga,16.9692,-88.2321,27.66,88,92,3.78,BZ,1715403922
82,tazovsky,67.4667,78.7,-0.36,99,100,1.82,RU,1715403923
83,hassi messaoud,31.6804,6.0729,17.92,45,0,2.06,DZ,1715403923
84,belmonte,-15.8631,-38.8828,25.12,88,75,2.27,BR,1715403712
85,sao vicente,-23.9631,-46.3919,26.82,26,100,1.08,BR,1715403730
86,haiku-pauwela,20.9219,-156.3051,22.8,89,100,3.09,US,1715403923
87,colares,38.7992,-9.4469,16.1,86,3,4.92,PT,1715403923
88,mishelevka,52.8575,103.1719,22.13,23,36,2.18,RU,1715403923
89,inonu,37.3167,33.7667,15.42,42,0,14.44,TR,1715403923
90,tindouf,27.6711,-8.1474,24.25,35,0,5.14,DZ,1715403923
91,anadyr,64.75,177.4833,-0.72,74,75,2.0,RU,1715403924
92,holualoa,19.6228,-155.9522,23.91,68,0,8.23,US,1715403924
93,suntar,62.1444,117.6319,5.2,38,87,1.61,RU,1715403924
94,saldanha,-33.0117,17.9442,10.03,73,86,1.31,ZA,1715403924
95,waitangi,-43.9535,-176.5597,9.34,83,100,4.02,NZ,1715403924
96,longyearbyen,78.2186,15.6401,-0.09,69,75,10.29,SJ,1715403797
97,codrington,-38.2667,141.9667,19.46,58,6,3.58,AU,1715403924
98,udachny,66.4167,112.4,-6.97,88,100,1.18,RU,1715403823
99,hermanus,-34.4187,19.2345,13.65,74,40,2.82,ZA,1715403924
100,port alfred,-33.5906,26.891,16.45,73,38,8.16,ZA,1715403924
101,ribeira grande,38.5167,-28.7,17.65,96,93,6.26,PT,1715403925
102,knyaze-volkonskoye,48.4642,135.4567,7.22,92,100,4.02,RU,1715403925
103,luderitz,-26.6481,15.1594,13.76,60,0,6.0,NA,1715403925
104,shenjiamen,29.9576,122.298,18.9,97,100,5.1,CN,1715403841
105,hovd,48.0056,91.6419,23.75,14,4,2.81,MN,1715403925
106,stanley,54.868,-1.6985,10.84,92,0,0.51,GB,1715403925
107,cascais,38.6979,-9.4215,16.2,85,3,4.92,PT,1715403925
108,ust-nera,64.5667,143.2,4.21,70,100,1.96,RU,1715403925
109,glendale,33.5387,-112.186,27.39,16,0,2.57,US,1715403667
110,carbonear,47.7332,-53.2148,1.45,94,100,4.98,CA,1715403926
111,isla vista,34.4133,-119.861,17.97,86,100,2.06,US,1715403926
112,labrador city,52.9463,-66.9114,-0.46,67,0,2.06,CA,1715403707
113,thompson,55.7435,-97.8558,9.09,66,75,0.0,CA,1715403684
114,coquimbo,-29.9533,-71.3436,10.85,64,0,3.6,CL,1715403926
115,chonchi,-42.6128,-73.8092,3.56,95,38,0.46,CL,1715403926
116,patrocinio,-18.9439,-46.9925,16.84,77,46,1.05,BR,1715403902
117,khandyga,62.6667,135.6,5.02,48,100,1.45,RU,1715403926
118,male,4.1748,73.5089,31.97,74,75,2.06,MV,1715403927
119,alamos,27.0167,-108.9333,25.31,19,42,1.69,MX,1715403927
120,manggar,-2.8833,108.2667,29.82,76,88,5.35,ID,1715403851
121,invercargill,-46.4,168.35,9.45,94,91,2.24,NZ,1715403927
122,ialibu,-6.2821,143.9935,18.04,96,98,0.88,PG,1715403927
123,lompoc,34.6391,-120.4579,13.21,94,100,1.54,US,1715403668
124,margaret river,-33.95,115.0667,19.26,51,0,3.28,AU,1715403927
125,naracoorte,-36.9579,140.7383,18.72,53,98,3.36,AU,1715403927
126,kiamba,5.9894,124.6242,30.12,71,78,3.13,PH,1715403921
127,walvis bay,-22.9575,14.5053,13.94,88,0,0.0,NA,1715403928
128,aykhal,66.0,111.5,-4.67,73,77,2.12,RU,1715403928
129,fort st. john,56.2499,-120.8529,15.94,31,20,9.26,CA,1715403928
130,isangel,-19.55,169.2667,27.06,57,40,4.12,VU,1715403928
